Vendor_Name,Product_Name,Product_Category,Brand_Name,Number_0f_Unit_Sold,Sold_Dollar_Amount,Avg_Unit_Price_Sold_Amt,Reported_Date,Product_ID
#NAME?,lseon4m4auvom1o)mrempgtbizrmnhz&wllhert1huelohfstmlielioaisdtewcxoiaalaaaecocck(snolxnbiiaira-slolwoapvommkanalb1aca12srtrvncdaonipe2c,ySn|ceacrsGokr,oiMneoP,6,197.4,32.9,2021-01-01 00:00:00,2BJV0HG428
zmanemm-rcko.oata,i1siooLxreaAnnehPxmpowfaircnhkRioCScC.etscbh6eFhhrlgonEleMifibPteiepnalaIetrleXa,eCPrPhse|slotanl,efaAx,7,90.3,12.9,2021-01-01 00:00:00,J0D6MM9BMB
.araentzomcaomkm-,lsiwxwdanlvyllool0seeessfseecloolrshiesckiekccaieasehifiecnanrt6aleedcppas2vrotnatopw22ipsasrefdaics2sarthhgiolziluitnpwnkdnoea,oBdd|nimegHe,HYGEAICE,4,35.96,8.99,2021-01-01 00:00:00,3QC38H9HB0
oetczmmak.mona-ra,i2aafr1os3rfrr-rgecnnulo(doalocelnptiwmebnsdpagirymdeodoutnardnbflrnpieairy.sccddotstocenidovettnwleelanoacreofresggrteiolradeklvyehk-mdenapuueomo)ltceaes--ff,lnshmutteSla|Hpepe,WdiooFdls,5,199.95,39.99,2021-01-01 00:00:00,NLB8H43Q0H
n.oetid-cmzromaca,1omilttoomrlswtsheieuuaooooemmparcicehlcioviao2rsftso2scxnefluoauweatcws0ftehruaejeetvleeprlibiatodenfvhilcoocdbnhicwhuolowrriugrtweietrtlmahooobvsnsalndmlravcimoioccrn,ndHdo|mgiBee,OAJI,5,74.95,14.99,2021-01-01 00:00:00,RYZB4P083K
so.szormatnicauP-mcn1poib,a-ntrnsdapkrrymscnpunriouieaaordsmetmr-u)tsflpdem2ocetfcdmaduarootcyedrnrll1oonzps6evhyf0cimlsiciu(tealrigieressfcalfeaaeye,|istpesPaetpuSlC,mronCoefotZ,29,826.21,28.49,2021-01-01 00:00:00,2OJ90BI0NA
muaP.ioicbtassro3zm-nncpo,edegstoisbeic8ialrfepcepatnl(l8ayumiiodrtcenlrdptbgbynnas8sucyclfpeth)r-ch)irn-gili8eonuegigse-oyyelurdsttqedtlhoeoxehqsodi(nbsrewb,gHideBdmeon|,ectNAigihN,6,196.26,32.71,2021-01-01 00:00:00,H0MQ8RB7HG
arnc-aokmmztemoa.,Sdc0un0nhCrCAvrmsCp-re0pteell6C7he2ps2nisi4ae16yll1dhnttpFtR6,eaaPv|thlelsRerneHii,SATR(AUOVDCPTOE-C)CI3ST,10,99.0,9.9,2021-01-01 00:00:00,BK2M8001H0
mtaek.an-oomcrzma,.Pg)ihn82saklc(1et5nJ4iPSfoznieeakyv.eml00cnIiasMujn,taykCtTnmerS|eeain|uesrtaB,UJJJJNYA,23,503.09,21.87,2021-01-01 00:00:00,MANABIZ701
mk.n-mczreoatmaoa,reebtctenfeshkcbebxtdeeeoeeelbye6hlesuoo-yha-c0rispfedusedsdckeues10tsrxcealtekvppsicmstd6iatobstfptetqurobr8,egdnHBoie|dm,OVOYEE,13,467.87,35.99,2021-01-01 00:00:00,0M5BD5LY8Q
ondmcmari.-toezac,glgsngettknelralathinnbiqdidietgyisddhcsgubeekuoiccileoiaxstitg/mmrunstsnepronasdaeshgdontblspeaivimthuiea-lkcdfoehrcelawscsledn,HideeBgdn|om,emSrofspacCto,3,140.73,46.91,2021-01-02 00:00:00,NLB8H43Q0H
amoradtccnomzie.-,tgscrosrvicsletinedtpgkerlmscltwtomaharaanspollmlbztnppooriilieoassoisdneardemoeogititiniynstoipfwfnehiyrn1ogmskierpmeiaonnftooisl-iecwyuk&dmostgthhsierep2ldawttlsg,oe|ornutBdiurremF,genethwtSi,30,16440.0,548.0,2021-01-02 00:00:00,BWJT4702CN
akazneoora.-mmtcm,naeoliruurfueairbbomecrtqeeqdutsendoniodatspsow/lfnisrsblofle-sghwcnitfettueocbrsknebsr)we(ndrliarreceeoslbgrrifnbelasaaeeft/rmznmlasft5oeigieeolnisddonuosaim,de|egnoimdHB,inron,4,199.96,49.99,2021-01-02 00:00:00,HTBR6037HB
mnoaatamoe-kmrcz.,neJssyjrr0ferasBJlmClioClrhel5Inumeoyeem,B|maytSnCkeCiraasr|eeu,Irniefnes,24,544.12,22.67,2021-01-02 00:00:00,6C0BH75MPS
#NAME?,isednoCnGildelahBtc-utnoLo,cyoocoCetderCha||nlyGra,tindL,14,149.36,10.67,2021-01-02 00:00:00,8RB06TSGJH
imrontcabz.iaPcun3opmsos-,lxpkpnahtbt0ommelfmrsrdoutnlopmnepnknodkcgpetismdoaaa1edotr.ideinguasibrurfswankuczayvrhlheeiiskee1maitetmterirtoifdoernkcr,||fcGeryeorfsreegoeBveCa,NAETZE,15,224.25,14.95,2021-01-02 00:00:00,NLB8H43Q0H
oa.a-dtrncemocizm,iannxoilaiiplbntercooustbxelarpddletcttolrwaeownanrneoie0tmrueieima1dfppetercrl2gbpotdtuspsu-esrllcemnehisrownntncooberfrsoeerkcuvotdmoeocikuuoottyriacdcntuif,lhtsuee|HeaplSnmpt,ctoacrFeroF,26,704.61,27.1,2021-01-02 00:00:00,0LQAJB8T0M
zdoitma.rcmoa-ecn,hscybtstiral82+inaesedteldica2wvuplskepnsrl2vaodelgeruuptbt+r5lnrutaoatispnblnvtn5ddiebnleaomooioirwtegmd3lla5soaioe2llpe0,RukyemoueprateMBve||a,Nturaenoge,5,172.4,34.48,2021-01-02 00:00:00,0N9281TDLB
rtaanamk-meomzco.,cftet)uleris1uelasidokalcpdaouneorrogirafprtacotnr02tafaijorafybsai2phtwiuowalntftzcp0etleljzpoi(eesrol,rGoecry,aPeronl,5,64.3,12.86,2021-01-02 00:00:00,B4TRX04D7R
eiconac.-mrmtadoz,eo2fSeVeCupn1CunetnmiePnKoloaesrnindlsCseeosytMMtfedfetviuemeRrdtCatrroRnrgncueCo-ooGaSuPB6greokuK-fia,yveorCsG|ecefBereaofr|ge,tanGMeutaeefssfornieRnoeCor,29,1180.31,40.7,2021-01-02 00:00:00,KM2JBQ8NN0
takom-neaomm.zcra,leronkoaqiusauitgrrceehteryowctogbhecptlepmfathzpaaoaitnterchhtiouniwini2hm+itato4lt,eBtuya,maHyliaa,14,153.86,10.99,2021-01-02 00:00:00,3QC38H9HB0
em.amrmtkcnza-aoo,llfwarcmzerpetaoanectoeweizilytsycfcdshcldeekaeicmnbeo,odH|ndegmeBi,elyezCcoeF,4,134.0,33.5,2021-01-02 00:00:00,2054B65PN0
ona-amzmrmo.catek,liqGrifMinsEkcleCNiPtLpoesSMNeSiroagnt6pul-LkeCimnvrediPoeen6Wid)kttoaropoWeRretSUouNtsnpStaoAFLSCttigKeiuVnoiSdaCderddyssLLcacaL-seeEtEt-(NsrOPuei,M|csutpBeit|yakpeaLiuk,REPAMOE,15,149.85,9.99,2021-01-02 00:00:00,9NWB56V0DQ
azot-makmo.crmean,"deexemewoe-uatrc9voulttmdtovheit3ssiriatano9pcot""l-te0bql0amssprhtrrcuyronsvcbuteilideall2wc–foelicefooo""hcornefhbenuuuh–eersdqtruolmsb",iBH|ogdeemdn,tgldsBndeeNi,3,94.47,31.49,2021-01-02 00:00:00,0UJ0AHNIBN
komztea.-maroamnc,ctt0srsiol0nfpsey9irw7scao18fabf1yapcotau9ayssaaoeontimpoesclrusacyfr,loWgonmsmtehCsenouCt|i|,aaaFlyp,13,314.76,24.21,2021-01-02 00:00:00,ZGHCJBL08J
ntacr.odamm-eczio,sidtitr2uiuegdatlecsm-dosroeom,snt|yhso|iBeloomtCCsgu,essiiDug,10,299.9,29.99,2021-01-02 00:00:00,0V3QBAGFT0
aamrnm.ekoamoz-ct,ltterbteswteezthbaeeftelteraartcerlsoseastaseebrnbtowlhewavoamealnbrefrwd2leotaebowsoltwaoebttwbbnrdaeelorotadtsmeottwirteeiowel4unrlhtnatstsamttmmfiaeelap,sAcopscorreiseSst|,awBmba,2,39.98,19.99,2021-01-02 00:00:00,BF0SDGSMP7
aemomncoz.trakm-a,teclaopnlakn/lty6ngd5ryn55lsene1ewm5eo5-mnhaxpd5e1corehad1r5tde0tenorgp/kutc5rnico661rbr6gern1ifdratb0nteaa51etarh6ei1net51iihykedg62owrpxirwi)1m0c/etok(scmpalcoilo,kOnrPtcenrIeif|if,KnmoderongTi,22,932.58,42.39,2021-01-02 00:00:00,5BPB84L06M
aoarmtoka.czmmn-e,enocooioenleoausgpti1n)pleudweacideeuuesrieiaohieelwbvsipcs1vlpmqfrifcnshbtucqrhksmguitpvlrfpsaedgiwrooliaot(pcetrreqcoaknsarcepbesslenririitaftdobbpunighnhron,eChl|lPaensoCses,SOEWTCLE,5,51.95,10.39,2021-01-02 00:00:00,GM2PCZ010B
mmac-.zmtneakoora,s1lperwbce0fltciglaamrnseeodhfirlsk0(ievcdeitois0r)ohm,rtlisSedeisupBPp|,iaarntd&GeoP,23,291.55,12.68,2021-01-02 00:00:00,KSPKYBB9D0
mraotz-cam.aneomk,2RXIBI0-UERK05N04CCSS4.RARRZILRGSCKEBCTN0C70AO8ACZR12OAO4NKA0EPAC3K,oycenrrcks|GaS,zitR,25,100.33,4.01,2021-01-02 00:00:00,8RB06TSGJH
aroocdcmt.-naziem,eaadpersktm2oibsdrupscatikoavnwslcetoclfsanhc2hhoabgwosrcsaslpeeaotnieieckabhlsrgloihone,tyaeb|aBCarsS,onDoi,25,1124.75,44.99,2021-01-02 00:00:00,JFY2V8BXC0
mdnct.orozmai-aec,6uonmmzesfrd2fton'cobpol6ite3a1h.nvtuasenhags5ialuc,rk|nesaocGcySr,etesCho,20,289.8,14.49,2021-01-02 00:00:00,0BM5T75DS7
cmzameonotd.ira-c,TClSrlrrekSalsshtopprztetrmeudfMelsngRedrygfFeiPaxvExsaPeoaarsr&DcTe2eaeetttnroumiHderlesoelnm(ieiltflutioerSheeattGhiasioolusehesptlheOoCGWoegwa)mciortftusl,Bayb,upsgnortrese,22,156.59,7.12,2021-01-02 00:00:00,B192GRV08Z
zca-a.otmnommeark,oec[gcflmceslifltwhlsicup7nxghispuelnn1sariml1g6ia]rbcdeoiasaaei8etgpoxrseiipudhphraadepdxr6onddnhimaonttfaknbgst5exya-jopbp56faclxbnecreribitihspi,cr|CtclsiruepsonoEmte,JAXSU,17,271.83,15.99,2021-01-02 00:00:00,Y198VBD078
zatmroam.an-eokmc,pltrasyarniht1oeaosbcndgsyrbrdsa0hpyoh.itetehiz3eedhgmwiii,guyBleyatHnS|aterari|Ci,ITIG,40,600.89,15.02,2021-01-02 00:00:00,PBH4W6B0W7
nomkmaar.etcaz-om,ipcetsoiesurtatniceol-oldrlasagtsptwantb,cH|iotKehnem,eHtmSvreeote,5,64.95,12.99,2021-01-02 00:00:00,0LT9FH8B7X
#NAME?,tpoicynlireyrenhhftuedsirrirotviinnkfwhc3ltdeoeghtsreaueeyn3gstnm-nfaedposdsadeodcecnsuirodi-emhoslmxa9st8ca,i|menodHoWw,vooeoDcn,118,1177.64,9.98,2021-01-02 00:00:00,B192GRV08Z
mz-nae.ooaktammrc,vremniauoteatsmoaasnibetycalf9eoxceakrnvyckboteyifspaghuoxtplodiktu-rawsllcsieclaollffueurochenoatsioeolgtydhmycpisrrcsrbtramgcl,nsPlose|aslCeChe,EAMYRKUO,4,95.96,23.99,2021-01-02 00:00:00,BWJT4702CN
aoner.-motmmkazac,irielfobopgorepnc0smurydrlostbsosaecpnalhoaxhss-eistseuefe-aecafcltidl(b)so55ondakns,e|cferveoeCg|yreBorfseaG,bNasbeceukoSpsrstysr,2,90.0,45.0,2021-01-02 00:00:00,VVXR7L06BN
zotrnak.mmmaa-coe,ylauosltda)cpreus(cipobkaikmrotdtaudayotabdlfbitlo2anyurtabecbisadyrsyuiaemaoltewddmonata5lbymslsouhletsmlooi5ynaoastcsnorjcplooyioatsmlnhbaeiyme1fsshcgyrrctoirjz,|emBtHhoa,aicsnzosBAma,532,14083.01,26.47,2021-01-02 00:00:00,B5TYN20Z91
eoa.kztma-namomcr,pa0kiyodak6iptarp-ranpacolon1rdiifkyoptaglacgelsxuovtoecslrlf1eseirntorrrps+wk0yccsuuhhxhnrustuslylpgsaediikelyocrfrp.rvughsetcfoynwncfmob4aeonuuetbmtnootie-idrs,sees|aCnlClPshoe,KEMROUAY,3,73.92,24.64,2021-01-02 00:00:00,BF0SDGSMP7
dn-c.zrecmootaaim,e-ssuDc3eaeCe2cl.Mnoernoacltbet’ncfaaienHtuMrrnueytctSlkylCeSesteunyrooM,epopapH|oPniSusseelmelrurACdlolhsus|eeloH,R'EESMSRYM.,26,211.12,8.12,2021-01-02 00:00:00,5HD8BW07HW
zoaran-o.mmmatkec,arrnutod5gfchi2ge1cemaaxgwkp5cababyllleepnkgllmotmic3irarxnepkrla1cagrel0)liaelkmyctrl3alamnct5b33stn2-3oeiaa(,Ieko|nEtmuetnrcisrci|nprPlesrCot,ngtrguIaiArhm,5,74.75,14.95,2021-01-02 00:00:00,0N8M9BYWKT
tcznr.moao-aecmid,5cbgik(-clionr)'em-uondmstesbii16-lcngkoanpuoasiii,|oguetlsSpPpsieD,n-loMBiek,23,437.46,19.02,2021-01-02 00:00:00,PB0C8XRR34
c.-domaenzmiaocrt,stotm1semarmelaascridnnrpaeeseatxumiptehtsmseau0reiogutsilfwlnibixiamrmee-hccuphtniggd-kipswadiseiiccs0ptoesssoum1cgdaioxfdemukneduuceodnacleiepr0oufsprlanb,|osSlouHdueshopemHpiel,PcfitexreSt,29,606.44,20.91,2021-01-02 00:00:00,0374VHL6YB
ao.am-acnezrotkmm,"np2cvaa""3fyt0:aumt21rpc4323syn2rbxoli7sstlkemt-eoe0aoutianrr",t|eluHpthnSelemasp,NodoFWsO,22,229.57,10.43,2021-01-02 00:00:00,CB0JTB6467
a-oconmzkae.rmmat,Htdl66ogPlw0Sysl2-8ps6oCsepgA2ep20bopC5tncuncer0N1VmtR9e0ntu,eselmphtHSeutl|npa,soWdFoNO,6,221.88,36.98,2021-01-02 00:00:00,AB0X50AVHY
czoekmanotmaa-.mr,"nlratoa1sttcies+snecvcaecpscvlr0otgctatae–rss""t–suywowp""sfgas1erloeiaottsolclrnattlopystpplop1cenrelfnwra""eeepuasplftr-ietduencns""pgotypurtdlyrirdialtto-nleeeyae–f",gnoGdar|tinerdoOu,enaeoavSLulsd,15,223.2,14.88,2021-01-02 00:00:00,KSPKYBB9D0
orkmz-aoea.natmmc,nSiOa-zruaoaatrvgmCG0aellruSionlisealetaFOtlELvat1ienxqreaeoMiFutp,odteaHhhHo&llsue,EoumoiStlateq,27,232.58,8.61,2021-01-02 00:00:00,88B0MNBBPY
anak.me-tmocaromz,atnsoen0dunnadocalrorcai2cys-nivuhmateme1ouel0csrns.os27lbxtunlpohcpprehertuelrraaefkmec6tiemimwrsnhe2hciawe&atpieoebspictetoipmccrcnpgefo-ry,o|heseCelsnsalCP,vyenAn,13,51.87,3.99,2021-01-02 00:00:00,T0W77B46LT
aero-tn.kmzoaammc,af9aw7155iimshl9aetd0aewtweh9ktbpolha8erccie3dif01clnicl5dmwsudccrk11uomraphcdrbah2lhac1btlrdcbyortatfe5se8t1e-thbho5t0tplp7500sthyai7h1oteak1oohr5usliilereifl,taBuye,ilHhataemF,28,391.72,13.99,2021-01-02 00:00:00,0LQAJB8T0M
okz-mmntc.oaaemar,pie95mmgd0epm63txrrnroe2oeiosu3tc//ia/njco8cteirerg7r/cmtors+m/u8sa/bpsgfno4ooa/ocapmthooalusosri1po//eoao/hno/,cocrc|esielAseearEsiscotrm|aCn,Seematr,29,304.64,10.5,2021-01-02 00:00:00,B481RV7L06
tm.dn-cmeooiaaczr,irghsgvarra0crnhisrscnlocohemrseaoeie2ooorrkrboeppdeemmaoreaccsdhgcd2neraciordc°istaah2peoafcoremr0trcsredw1.awisiw1rhnteg3r1rtinpvwaaaeddn0hnaa8r0aamiddcrnuhfnu7lcn,|raolrCnemEccsaite,OHACRTU,10,482.08,48.21,2021-01-02 00:00:00,KYV0BXU0K2
caommkont-maar.ze,-i(oeteheb7saphop0t2irfns)lc-i0arpfapuxor(renn8teneebepepsorotiaoosgfamdlloisncnoneseo2+klpgdseo)lnih,nna,nna,3,104.85,34.95,2021-01-02 00:00:00,CB0JTB6467
